text,label
I really enjoyed this lesson today,positive
The topic was about photosynthesis,neutral
I did not understand this topic,negative
This chapter explains how plants make food,neutral
I love learning about space and missiles,positive
This is too difficult and confusing,negative
The teacher explained the concept clearly,positive
Answer written for question three,neutral
I am stuck and unable to solve this problem,negative
The experiment was fun and exciting,positive
Chapter five covers the causes of climate change,neutral
I found the exam very hard and stressful,negative
The lecture notes were helpful and clear,positive
Definitions of democracy and its types,neutral
I think I might have failed this test,negative
This subject is amazing and interesting,positive
The diagram shows the water cycle,neutral
I am worried about my marks,negative
